Feed,Feed_status,Spec_status,Content_Updated_At,Error
http://feeds.feedburner.com/albopopcomunepatti,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPretorioPedara,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Penna%20San%20Giovanni_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Petriolo_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Pietracamela_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPietraperzia,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Pieve%20Torina_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Pievebovigliana_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://script.google.com/macros/s/AKfycbzRcWwlkT6MU2RdYymcCyE4ycUYT-ufGS3bmFgVPpxK3CwA2D4/exec,"NON ATTIVO","Non Rilevato",,"malformed xml string. parsing error : DOMDocument::loadXML(): Opening and ending tag mismatch: link line 1 and head in Entity, line: 1 (2)"
http://www.semplicepa.it/rssfeed/043039.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://opendata.matteofortini.it/rssAlboPOP/alboPOPPisa.xml,ATTIVO,"Non Rilevato","2017-08-02  -713 gg.",
http://feeds.feedburner.com/albopop_pisticci,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/066072.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopDelComuneDiPlatania,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Poggio%20Bustone_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Poggio%20San%20Vicino_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Poggiodomo_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPretorioPolignanoAMare,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Pollenza_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Posta_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://manca-nel-sito.it/potenza,"NON ATTIVO","Non Rilevato",,"Client error: `GET http://manca-nel-sito.it/potenza` resulted in a `408 Request Time-out` response:
<html><body><h1>408 Request Time-out</h1>
Your browser didn't send a complete request in time.
</body></html>

"
http://opendata.matteofortini.it/rssAlboPOP/alboPOPPrato.xml,ATTIVO,"Non Rilevato","2017-08-02  -713 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Preci_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://script.google.com/macros/s/AKfycbwpLOXvWf_GmmTOGzPHJg8uheShYPE1iPDjioP61UJwotZYmhY/exec,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://www.semplicepa.it/rssfeed/057059.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/RignanoFL,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Ripe%20San%20Ginesio_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/057060.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Rocca%20Santa%20Maria_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
